wavenumber,GN 11-389,GN 11-400,GN 11-407,GN 11-411,GN 11-416,GN 11-419,GN 11-422,GN 11-423,GN 11-428,GN 11-434,GN 11-435,GN 11-460,HW 07-151,HW 11-137,HW 11-144,HW 11-146,HW 11-148,HW 11-149,HW 11-172,HW 11-173,HW 11-176,HW 11-179,HW 11-184,LG 09-384,LG 11-309,LG 11-393,LG 11-395,LG 11-397,LG 11-404,LG 11-412,LG 11-414,LG 11-418,LG 11-432,LG 11-433,LG 11-438,LG 11-461,SW 11-138,SW 11-139,SW 11-154,SW 11-158,SW 11-178,OCC 11-457,OCC 11-462,OCC 11-463,OMG 08-82,OMG 11-454,OMG 11-455,OMG 11-456,ONP 08-78,ONP 09-388,ONP 11-450,ONP 11-451,ONP 11-458,ONP 11-459,OFF 10-506,OFF 13-144,OFF 08-80,OFF 08-852
3980,0.000484796,0.000491327,0.000287104,0.000495366,0.000525279,0.000339363,0.000293253,0.000561951,0.000689956,0.000328123,0.000252376,0.000408872,5.76E-05,8.79E-05,0.00016789,8.30E-05,1.47E-05,7.52E-05,3.48E-05,8.62E-05,0.000156187,0.000281306,0,0.000462609,0.000638884,0.000598557,0.000490726,0.000396982,0.00044682,0.000436214,0.00049443,0.000569914,0.000464402,0.000764087,0.000606745,0.000349655,0.000122659,1.51E-05,0.000135142,7.18E-05,0.000260614,0.000172222,0.00011531,3.57E-05,0.000555269,0.000330647,0.000300984,0.000676842,0.000474623,0.000628373,0.000652669,0.000581079,0.00046076,0.000690197,0.000116928,9.51E-05,6.33E-05,1.71E-05
3979,0.000478004,0.000549647,0.00032145,0.000384325,0.000543979,0.000346409,0.000325075,0.000531489,0.000725683,0.000376243,0.000332423,0.000423384,5.44E-05,0.000135896,0.000137318,0.000118761,7.46E-05,8.90E-05,0,9.72E-05,0.000168057,0.000271506,1.25E-05,0.000397491,0.000547794,0.000580951,0.000533104,0.000435778,0.000470677,0.000468834,0.000509704,0.000556155,0.000529667,0.000800035,0.000559913,0.000356217,0.000173177,2.85E-05,0.000104125,0,0.000218235,0.00014697,7.76E-05,3.06E-05,0.000531171,0.000469732,0.000365113,0.000728378,0.000535559,0.00064491,0.000697939,0.000576432,0.000574649,0.000790347,0.00015733,1.79E-05,8.57E-06,5.96E-05
3978,0.000519177,0.000580102,0.000415005,0.000277024,0.000541348,0.000375648,0.000317102,0.000471101,0.000707579,0.000450327,0.000415168,0.00047891,0.000116979,0.000195466,0.000154097,0.000219876,0.000179495,0.000160996,5.50E-05,0.000151149,0.000259294,0.000285066,9.89E-05,0.000313294,0.000432946,0.000594641,0.000565405,0.000435573,0.000531226,0.000499652,0.000485552,0.000543729,0.000593543,0.000801615,0.000562666,0.0003827,0.000260114,0.000108601,0.000107705,1.85E-05,0.000235403,0.000184972,7.33E-05,8.31E-05,0.000475711,0.000542477,0.000414245,0.000746077,0.000542189,0.000625855,0.000708754,0.000543091,0.000647161,0.000816889,0.00024105,9.65E-06,1.14E-05,0.000162649
3977,0.000565834,0.00055255,0.000518013,0.000243191,0.000531218,0.000403778,0.000297732,0.000412385,0.000662441,0.000529779,0.000445095,0.000542454,0.000247051,0.000284422,0.000210076,0.000346212,0.000293228,0.000268355,0.000199184,0.000228063,0.000396487,0.000337647,0.000220057,0.000231311,0.00033029,0.000614503,0.000567343,0.000420812,0.000604732,0.000514862,0.000447746,0.000535041,0.000641731,0.000762189,0.000596096,0.000417586,0.00037094,0.000230101,0.000159958,0.000125806,0.000327026,0.000271213,0.000120208,0.000192755,0.000430625,0.000527794,0.000435113,0.0007258,0.000501257,0.000594206,0.000686805,0.000494585,0.000669116,0.000777105,0.000357099,7.01E-05,8.96E-05,0.00029155
3976,0.000594346,0.000483258,0.00058559,0.000319275,0.000533743,0.00040933,0.000318345,0.000397455,0.000634598,0.000604727,0.000416302,0.000576423,0.000406948,0.000396415,0.000277496,0.000440062,0.000385374,0.000378806,0.000379682,0.000306226,0.000520098,0.00042032,0.000325962,0.000174253,0.00027157,0.000619655,0.000535565,0.000436261,0.000642237,0.000499544,0.000434162,0.000537708,0.000663013,0.000701618,0.000625854,0.000453333,0.000478595,0.000357872,0.000247148,0.000267108,0.000460475,0.000363697,0.000216308,0.00032943,0.000433231,0.00044657,0.000427334,0.00068435,0.0004255,0.000567185,0.000643847,0.000449858,0.000645312,0.00070579,0.000467239,0.000174976,0.000228488,0.000406118
3975,0.000616112,0.000423523,0.000611654,0.000468518,0.000557109,0.000384369,0.000402643,0.00045071,0.000636295,0.000671436,0.000370627,0.000572258,0.000546184,0.000495961,0.000333242,0.000469937,0.000444048,0.00047007,0.00052488,0.000378872,0.000583767,0.000505609,0.000387531,0.000150668,0.000269304,0.000616693,0.00049508,0.000504112,0.000607514,0.000450432,0.000466178,0.000559875,0.000656646,0.000654723,0.000626576,0.000490157,0.000554055,0.000458906,0.000340408,0.000373177,0.000577898,0.000421432,0.000330581,0.00044672,0.000487609,0.000355632,0.000405214,0.000654529,0.000351483,0.000554253,0.000602993,0.00043225,0.000588238,0.000655009,0.000527368,0.000294462,0.000382555,0.000483336
3974,0.00065373,0.00041294,0.000619313,0.000593494,0.000583972,0.000331486,0.000520019,0.000551415,0.000630481,0.000713042,0.00035108,0.000551296,0.000632808,0.000546197,0.000371382,0.000449955,0.000474728,0.000532986,0.00059281,0.0004481,0.000578855,0.000563671,0.000405854,0.000146984,0.000306625,0.000627544,0.000474049,0.000595561,0.000508465,0.000376539,0.000525444,0.000593887,0.000628198,0.000644046,0.000591232,0.000524574,0.000580352,0.000510798,0.000416421,0.000406216,0.000635424,0.000429142,0.000416558,0.000511258,0.000556908,0.000311282,0.0003878,0.000665018,0.000333901,0.000566034,0.00058879,0.000459305,0.000516853,0.000666565,0.000522652,0.000402907,0.000494492,0.000518393
3973,0.000707478,0.000444781,0.000622607,0.00060606,0.000584602,0.000259861,0.000610297,0.000638816,0.000569881,0.00070394,0.000357982,0.000539913,0.000661461,0.000537337,0.000391593,0.000416818,0.000488104,0.000561322,0.000591743,0.000506588,0.000527345,0.000576721,0.000396343,0.000142243,0.000346457,0.000661047,0.000472461,0.000654044,0.000397216,0.00029222,0.000564351,0.000613892,0.000585873,0.000664602,0.000531062,0.000543252,0.000559658,0.000507805,0.000461696,0.000375045,0.00062446,0.000399893,0.00044406,0.000518742,0.000593052,0.000325844,0.000384307,0.000717548,0.000402313,0.000608972,0.000605725,0.000526026,0.000454097,0.00073934,0.000480678,0.000478059,0.00052333,0.00051234
3972,0.000753359,0.000478873,0.000608024,0.000495546,0.000549147,0.000190638,0.000633028,0.000654631,0.00045221,0.00064409,0.000353081,0.000546801,0.000637932,0.000485583,0.000382522,0.000389997,0.000484781,0.000545908,0.000558255,0.000532386,0.000455314,0.000542484,0.000370391,0.000134174,0.000358984,0.000707369,0.00046617,0.000650001,0.000334854,0.000217549,0.000545849,0.000600057,0.000545365,0.000697503,0.000474816,0.000532691,0.000506661,0.000459834,0.000462517,0.000315145,0.000561552,0.000355421,0.000418265,0.000481663,0.000577521,0.000358804,0.000387037,0.000783321,0.000520515,0.000669282,0.000627197,0.000598723,0.000415998,0.000825177,0.000446451,0.000498911,0.000462702,0.000464109
3971,0.000771266,0.0004824,0.000556248,0.000332111,0.000497283,0.000158802,0.000594836,0.000585594,0.000330405,0.00057542,0.000306194,0.000557489,0.000567243,0.000411002,0.000326994,0.000356177,0.000451353,0.000482553,0.000519225,0.00050581,0.000374208,0.000468682,0.000332134,0.000143313,0.000341653,0.000754358,0.00043433,0.000602335,0.00034676,0.000176646,0.000471417,0.000562938,0.00052388,0.000729292,0.000455108,0.000489277,0.000436086,0.000383305,0.000403809,0.000260306,0.000466956,0.000305987,0.000366917,0.000408658,0.000529211,0.00035279,0.000377389,0.000821075,0.000598439,0.000712005,0.000612126,0.000629902,0.00039916,0.000862387,0.000442894,0.000452702,0.000339702,0.000375808
3970,0.000769875,0.000457025,0.000475601,0.000206,0.000453404,0.000194572,0.000536346,0.000467747,0.000265425,0.000549597,0.000235807,0.000549464,0.000462008,0.000325222,0.000227773,0.000291261,0.000377572,0.000385181,0.00047512,0.000430682,0.00028475,0.000369108,0.000287739,0.000189577,0.000314629,0.000798136,0.000375472,0.000548162,0.000403702,0.0001826,0.000371507,0.000535516,0.000522585,0.000755078,0.000481911,0.000420273,0.00036002,0.000291896,0.000286744,0.00022811,0.000356876,0.000248998,0.000312524,0.000303619,0.000473813,0.00028366,0.000341294,0.00080034,0.000558697,0.000704157,0.000539095,0.000587914,0.000381795,0.000818799,0.000453089,0.000349194,0.000199217,0.000264483
3969,0.000777049,0.000431634,0.000404172,0.000164816,0.000421101,0.000294736,0.000493882,0.000353762,0.000273073,0.00057851,0.00019788,0.000516738,0.00035769,0.000241395,0.000123218,0.000196683,0.000281013,0.000288076,0.000417757,0.000335171,0.000194869,0.000266428,0.000253611,0.000270298,0.000300422,0.000837139,0.000302391,0.000503686,0.000444529,0.00021915,0.000276114,0.000541171,0.000523858,0.000771875,0.000530985,0.000340101,0.000297958,0.00019866,0.000146725,0.000222703,0.000251582,0.000185599,0.000261571,0.000185265,0.000415605,0.000180496,0.000282578,0.000715953,0.000400353,0.000640934,0.000428325,0.000481083,0.000342836,0.000708486,0.000440045,0.000228062,8.55E-05,0.000165957
3968,0.000805145,0.000433321,0.000374816,0.000199531,0.000384281,0.000413331,0.000472108,0.000280747,0.000320393,0.00062168,0.000230426,0.000479423,0.00030539,0.000184446,6.75E-05,0.00011096,0.000206721,0.00022886,0.000356059,0.000249573,0.000127423,0.000189547,0.000251383,0.000361037,0.000307104,0.000861969,0.000229279,0.000456131,0.000423647,0.000240863,0.000195895,0.000574075,0.000507892,0.000776851,0.000561785,0.0002651,0.000278355,0.000123996,4.37E-05,0.000241809,0.00017873,0.000134027,0.000214899,9.48E-05,0.000345665,0.000101494,0.000223005,0.000590827,0.000200627,0.000551112,0.000330186,0.000357566,0.000284007,0.000576849,0.000382344,0.000144458,2.72E-05,0.000119484
3967,0.000833451,0.000465843,0.000384407,0.000272173,0.000338563,0.000490151,0.000451558,0.0002603,0.000366761,0.000627202,0.000314675,0.000468929,0.000336666,0.000179528,8.90E-05,8.24E-05,0.000193281,0.00022337,0.00031732,0.000185966,0.000106663,0.000157306,0.0002906,0.00043422,0.000323221,0.000859105,0.000173126,0.000395362,0.000348657,0.000211311,0.000130929,0.000607317,0.000476939,0.000772817,0.000548617,0.000214106,0.000316677,9.33E-05,2.41E-05,0.000277919,0.00015714,0.000121396,0.000176684,7.25E-05,0.000274128,8.88E-05,0.000187682,0.000467459,5.57E-05,0.000477867,0.000287545,0.00027721,0.000233601,0.000473628,0.000291354,0.000133391,2.70E-05,0.000141961
3966,0.000828079,0.000510801,0.000402419,0.000345722,0.00031165,0.000494787,0.000418868,0.0002825,0.000398798,0.000583835,0.000393614,0.0005017,0.000430028,0.000228929,0.000165855,0.000126904,0.000238445,0.000254742,0.000322976,0.000142254,0.000137205,0.000164168,0.000354896,0.00047459,0.00032665,0.000828678,0.000157552,0.000341041,0.000277298,0.000144401,9.06E-05,0.000615687,0.000456878,0.000768966,0.000497031,0.000207864,0.000390469,0.000120311,8.79E-05,0.000317048,0.000176924,0.00015946,0.000151224,0.000125993,0.000241977,0.000139404,0.000187633,0.000388028,1.39E-05,0.000447449,0.000302063,0.000270506,0.000224062,0.000429404,0.000199622,0.000179954,6.61E-05,0.000217013
